timestamp,00,01,02,03,04,05,06,07,08
2019-01-06,180,100,34,67,92,134,102,85,119
2019-01-07,155,97,38,64,92,128,104,80,116
2019-01-08,192,103,46,57,100,130,101,87,137
2019-01-09,179,103,76,54,95,124,100,87,137
2019-01-10,164,103,89,73,84,136,110,81,151
2019-01-11,156,96,86,70,76,153,102,78,126
2019-01-12,158,112,81,71,82,146,104,84,99
2019-01-13,163,107,79,68,81,145,105,83,83
2019-01-14,114,95,73,66,81,150,106,82,67
2019-01-15,121,88,65,67,67,155,102,85,57
2019-01-16,87,87,43,58,70,151,100,84,57
2019-01-17,99,88,36,49,70,148,99,86,46
2019-01-18,96,85,38,47,72,124,103,77,45
2019-01-19,94,82,39,42,63,137,101,67,43
2019-01-20,92,81,39,45,64,139,101,62,45
2019-01-21,81,81,39,41,64,137,100,52,45
2019-01-22,98,92,35,46,68,138,109,55,44
2019-01-23,97,94,29,54,66,147,123,60,65
2019-01-24,88,90,31,54,75,150,124,48,74
2019-01-25,91,86,39,62,78,157,113,56,103
2019-01-26,91,86,40,68,77,153,118,71,102
2019-01-27,97,91,40,69,81,154,118,73,102
2019-01-28,89,94,40,66,80,156,121,72,98
2019-01-29,81,88,41,66,82,160,107,76,91
2019-01-30,108,77,56,69,96,143,107,77,77
2019-01-31,117,85,55,60,98,134,97,78,75
2019-02-01,111,89,52,59,107,139,116,91,76
2019-02-02,104,79,50,60,111,138,117,90,92
2019-02-03,99,74,53,63,111,140,120,86,94
2019-02-04,92,63,53,63,110,137,117,76,89
2019-02-05,98,73,52,69,112,129,129,82,100
2019-02-06,103,79,44,86,97,151,126,80,104
2019-02-07,109,78,48,91,84,156,130,74,115
2019-02-08,126,93,45,91,78,152,109,67,108
2019-02-09,138,99,46,90,84,157,101,83,108
2019-02-10,147,103,50,91,79,158,98,83,106
2019-02-11,138,98,49,103,76,159,102,77,109
2019-02-12,133,117,57,99,71,159,94,79,145
2019-02-13,130,126,58,94,69,155,86,75,156
2019-02-14,125,124,48,89,85,152,88,81,148
2019-02-15,119,123,54,93,86,153,98,107,134
2019-02-16,123,122,55,103,94,142,107,100,147
2019-02-17,118,121,52,106,98,137,113,98,168
2019-02-18,110,111,48,89,99,136,111,94,148
2019-02-19,133,88,45,83,103,135,115,87,122
2019-02-20,111,80,49,83,107,139,127,86,110
2019-02-21,96,71,70,86,91,138,135,60,116
2019-02-22,97,70,71,82,89,133,137,68,117
2019-02-23,117,71,80,85,78,136,142,68,122
2019-02-24,118,73,75,79,75,136,138,67,101
2019-02-25,97,73,77,80,78,135,137,72,94
2019-02-26,91,87,71,84,78,137,158,75,82
2019-02-27,140,94,58,89,88,131,149,84,75
2019-02-28,125,97,49,98,102,119,153,98,83
2019-03-01,123,106,45,104,106,120,151,86,70
2019-03-02,127,110,44,108,110,122,149,102,71
2019-03-03,120,108,48,110,110,124,150,96,71
2019-03-04,109,99,43,108,106,123,149,101,69
2019-03-05,99,93,46,114,95,113,129,129,72
2019-03-06,79,86,56,105,86,116,127,130,77
2019-03-07,85,85,48,104,79,136,117,112,69
2019-03-08,94,72,50,87,89,134,115,117,73
2019-03-09,96,79,44,81,87,134,104,108,68
2019-03-10,96,82,44,81,88,134,104,102,69
2019-03-11,96,82,42,76,88,140,102,87,68
2019-03-12,96,81,44,65,94,139,97,67,62
2019-03-13,95,77,37,67,94,143,95,61,55
2019-03-14,101,88,35,63,99,139,95,59,59
2019-03-15,104,83,49,72,92,149,91,46,66
2019-03-16,112,93,65,68,93,148,92,49,73
2019-03-17,111,88,61,65,96,150,89,49,84
2019-03-18,101,87,61,62,98,144,92,52,82
2019-03-19,82,71,48,47,82,127,79,41,74
2019-03-20,60,62,44,33,67,94,56,35,54
2019-03-21,41,41,38,26,51,64,37,22,44
2019-03-22,20,25,20,13,27,34,19,14,29
2019-03-23,7,3,2,7,9,8,6,8,12
2019-03-24,3,1,1,2,3,2,4,2,0
